source_url,brand,year,summary,sentiment,search_term,avg_comment_score,avg_post_score
https://youtu.be/KDorKy-13ak?si=kGMUBj7mOvSdjm1Z,State Farm,2024,"Arnold Schwarzenegger struggles to deliver State Farm's tagline due to his thick accent. Danny DeVito steps in as his stand-in, perfectly reciting the iconic line. Confusion ensues as the cast, including a State Farm agent, questions who's actually pitching the insurance. The commercial ends with Schwarzenegger hilariously attempting to say ""Jake from State Farm"" one more time, highlighting the brand's familiar presence with a humorous twist.","Humorous, Playful",State Farm Super Bowl 2024 ad,212.41935483870967,590.6451612903226
https://www.superbowl-ads.com/liquid-death-super-bowl-lix-2025-ad-safe-for-work/,Liquid Death,2025,"Celebrities and influencers hawk absurd Liquid Death merchandise, including ""Liquid Death Armor,"" a water sommelier kit, and a hydration-themed sex toy. The commercial satirizes the over-the-top branding and product extensions often seen in advertising, ultimately highlighting the ridiculousness of consumerism. The spot concludes with a reminder that Liquid Death simply sells water.","Humorous, satirical",Liquid Death Super Bowl 2025 ad,1076.22,12813.2
https://www.superbowl-ads.com/liquid-death-super-bowl-lix-2025-ad-safe-for-work/,Liquid Death,2025,"Celebrities are shown obsessively licking a Liquid Death can during the Super Bowl LIX commercial shoot, each professing its deliciousness and uniqueness. The commercial highlights the absurdity of celebrity endorsements while simultaneously suggesting that Liquid Death is so irresistible that even famous people can't help but lick it. The over-the-top licking and exaggerated reactions create a comedic effect.","Humorous, Absurd",Liquid Death Super Bowl 2025 ad,1076.22,12813.2
https://www.superbowl-ads.com/openai-super-bowl-lix-2025-ad-chatgpt-the-intelligence-age/,OpenAI,2025,"The commercial depicts various individuals using ChatGPT to enhance their daily lives, showcasing its versatility across different fields like education, healthcare, and creative endeavors. It emphasizes the idea of an ""Intelligence Age"" where AI empowers people to achieve their goals and solve complex problems. The ad highlights the accessible and beneficial nature of AI technology.","Optimistic, empowering",OpenAI Super Bowl 2025 ad,274.25,2441.0
https://www.superbowl-ads.com/openai-super-bowl-lix-2025-ad-chatgpt-the-intelligence-age/,OpenAI,2025,"The commercial depicts various everyday scenarios made easier and more efficient thanks to ChatGPT. People use it to simplify tasks, enhance creativity, and improve problem-solving. Examples include writing poems, planning trips, and creating art. The ad emphasizes ChatGPT's versatility and its role in ushering in a new age of intelligence, suggesting it's an indispensable tool for modern life.","Optimistic, Innovative",OpenAI Super Bowl 2025 ad,274.25,2441.0
https://www.superbowl-ads.com/dunkings-2-super-bowl-lix-2025-ad-ft-ben-casey-affleck-jeremy-strong-bill-belichick-druski/,Dunkin',2025,"Ben Affleck and Matt Damon poke fun at Ben's musical aspirations, while Jeremy Strong earnestly prepares for a Dunkin' commercial. Bill Belichick auditions. Druski also joins in the comedic chaos at Dunkin', and everyone tries to get a special drink named after them.","Humorous, Absurd",Dunkin' Super Bowl 2025 ad,30.954545454545453,135.0909090909091
https://www.superbowl-ads.com/dunkings-2-super-bowl-lix-2025-ad-ft-ben-casey-affleck-jeremy-strong-bill-belichick-druski/,Dunkin',2025,"Ben Affleck and Matt Damon humorously pitch Dunkin' as a serious acting school, ""Dunkin' Drama,"" to Bill Belichick, Jeremy Strong, and Druski. Belichick struggles with acting, while Strong fully commits. Druski questions the program's legitimacy. Casey Affleck briefly appears, confused about the commercial's premise. The ad emphasizes Dunkin's playful, celebrity-fueled brand.","Humorous, playful",Dunkin' Super Bowl 2025 ad,30.954545454545453,135.0909090909091
https://www.superbowl-ads.com/he-gets-us-super-bowl-lix-2025-ad-what-is-greatness/,He Gets Us,2025,"The commercial explores the concept of greatness, presenting Jesus's actions – washing feet, embracing outcasts, and prioritizing love – as the ultimate example. It contrasts traditional definitions of greatness, such as power and achievement, with Jesus's humility and service. The ad encourages viewers to consider a different path to greatness, one defined by compassion and empathy, and promotes the ""He Gets Us"" message of understanding and connection.","Thought-provoking, compassionate",He Gets Us Super Bowl 2025 ad,630.75,2241.2
https://www.superbowl-ads.com/he-gets-us-super-bowl-lix-2025-ad-what-is-greatness/,He Gets Us,2025,"The ad explores the concept of greatness through the lens of humility and empathy, contrasting it with traditional notions of power and achievement. It features diverse individuals performing acts of kindness and service, highlighting Jesus' teachings of love and compassion. The commercial encourages viewers to redefine greatness by embracing selfless acts and helping others.","Thought-provoking, hopeful",He Gets Us Super Bowl 2025 ad,630.75,2241.2
https://www.superbowl-ads.com/lays-super-bowl-lix-2025-ad-the-little-farmer/,Lays,2025,"A young, aspiring farmer diligently works his land, facing setbacks and challenges. Throughout his journey, Lays potato chips provide him with moments of comfort and encouragement. His hard work eventually pays off, resulting in a bountiful harvest celebrated with family and friends, all sharing Lays chips. The commercial emphasizes perseverance, community, and the simple joy of enjoying Lays.","Heartwarming, Inspiring",Lays Super Bowl 2025 ad,,
https://www.superbowl-ads.com/lays-super-bowl-lix-2025-ad-the-little-farmer/,Lay's,2025,"A small boy tending his ""Lay's"" potato plants worries about the future of his harvest. He envisions potential disasters like hail and bugs. In the end, his worries are unfounded as he harvests beautiful, perfectly shaped potatoes that turn into delicious Lay's chips, implying the quality and future of Lay's potatoes are in good hands.","Heartwarming, hopeful",Lay's Super Bowl 2025 ad,569.175,1176.25
https://www.superbowl-ads.com/doordash-super-bowl-lix-2025-ad-dashpass-math/,DoorDash,2025,"A math professor stands before a chalkboard filled with complex equations, explaining that a DashPass subscription offers so much value, it's mathematically undeniable. Celebrities and mascots flash by, each representing a different type of delivery service DoorDash provides, from food and groceries to alcohol and other items. The professor emphasizes the money saved with DashPass, concluding that it's simply a smart financial decision.","Humorous, persuasive",DoorDash Super Bowl 2025 ad,866.25,5651.458333333333
https://www.superbowl-ads.com/doordash-super-bowl-lix-2025-ad-dashpass-math/,DoorDash,2025,"A professor presents a complex math problem showcasing the value of DashPass, highlighting how its savings on delivery fees and other benefits outweigh its cost. The equation involves various food items and mathematical operations to illustrate the overall gains from a DashPass membership.","Humorous, clever",DoorDash Super Bowl 2025 ad,866.25,5651.458333333333
https://www.superbowl-ads.com/booking-com-super-bowl-lix-2025-ad-get-your-stay-ridiculously-right/,Booking.com,2025,"Booking.com's 2025 Super Bowl commercial promotes getting your travel stay ""ridiculously right."" The ad likely aims for humor and memorability, showcasing how Booking.com can help users find the perfect accommodation to avoid travel mishaps and ensure a fantastic trip. It will probably feature a celebrity or humorous scenarios emphasizing the importance of a good stay.","Humorous, appealing",Booking.com Super Bowl 2025 ad,75.2,99.5
https://www.superbowl-ads.com/booking-com-super-bowl-lix-2025-ad-get-your-stay-ridiculously-right/,Booking.com,2025,"The commercial focuses on ensuring people get their accommodation ""ridiculously right"" for their trips. It is expected to be humorous and emphasize the wide variety of lodging options available on Booking.com, positioning the platform as the go-to place to find the perfect stay. It aims to encourage viewers to use Booking.com for all their travel needs.","Humorous, catchy",Booking.com Super Bowl 2025 ad,75.2,99.5
https://www.superbowl-ads.com/whats-up-with-hate-super-bowl-lix-2025-ad-no-reason-to-hate/,No More Hate,2025,"The Super Bowl commercial encourages viewers to reconsider their prejudices and biases. It features scenes designed to elicit initial negative reactions based on appearance or assumptions, which are then revealed to be misleading. The message emphasizes empathy and understanding, urging people to find common ground instead of focusing on differences and unwarranted hate.","Thought-provoking, hopeful",No More Hate Super Bowl 2025 ad,799.36,2544.4
https://www.superbowl-ads.com/whats-up-with-hate-super-bowl-lix-2025-ad-no-reason-to-hate/,Bud Light,2025,"A diverse group of people sing a modified version of the 90s hit ""What's Up?"" by 4 Non Blondes, replacing ""What's going on?"" with ""No reason to hate!"" The ad promotes inclusivity and encourages viewers to find common ground and stop hating on each other. People shown in the advertisement are enjoying Bud Light while doing different activities.","Positive, Inclusive",Bud Light Super Bowl 2025 ad,1164.7727272727273,20135.484848484848
https://www.superbowl-ads.com/coors-light-super-bowl-lix-2025-ad-slow-monday/,Coors Light,2025,"The Coors Light commercial promotes the idea of ""Slow Monday"" after the Super Bowl. People advocate for taking it easy and relaxing after the excitement of the game. It humorously features folks enjoying the peace and quiet of a relaxed Monday. The message is a light-hearted encouragement to embrace a chill day with a Coors Light.","Humorous, Relaxing",Coors Light Super Bowl 2025 ad,951.5,12509.6
https://www.superbowl-ads.com/coors-light-super-bowl-lix-2025-ad-slow-monday/,Coors Light,2025,"A futuristic yet retro-themed ""Coors Light Slow Monday Institute"" advertises that the Monday after the Super Bowl should be a national holiday called ""Slow Monday."" People are shown relaxing in various settings, enjoying the day off. The commercial encourages viewers to advocate for this holiday, promoting the idea of extended relaxation and beer consumption after the big game.","Humorous, Relaxing",Coors Light Super Bowl 2025 ad,951.5,12509.6
https://www.superbowl-ads.com/nerds-super-bowl-lix-2025-ad-ft-shaboozey/,Nerds,2025,"The Nerds Super Bowl ad features the country artist Shaboozey remixing his song ""A Bar Song (Tequila)"" to be about Nerds candy. It's a catchy tune as he is seen playing in a recording studio and the Nerds candies are dancing as he sings. The ad aims to be humorous and memorable by associating the popular country song with the candy brand.","Catchy, Humorous",Nerds Super Bowl 2025 ad,4.5,21.0
https://www.superbowl-ads.com/nerds-super-bowl-lix-2025-ad-ft-shaboozey/,Nerds,2025,"Nerds' Super Bowl commercial features a remix of ""Sweet Dreams (Are Made of This)"" by Shaboozey. The ad showcases various colorful Nerds candies dancing and performing to the music. The focus is on the vibrant and energetic performance of the Nerds characters to create a fun and engaging spectacle.","Energetic, playful",Nerds Super Bowl 2025 ad,4.5,21.0
https://www.superbowl-ads.com/squarespace-super-bowl-lix-2025-ad-a-tale-as-old-as-websites/,Squarespace,2025,"The commercial humorously depicts the evolution of website aesthetics over time, from the Geocities era to modern sleek designs. It highlights how Squarespace simplifies creating beautiful, professional websites, suggesting that using Squarespace allows users to bypass the awkward, outdated web design trends of the past. It's a journey through web design history with a focus on Squarespace as the solution for a modern and stylish online presence.","Humorous, nostalgic",Squarespace Super Bowl 2025 ad,2109.3,13422.1
https://www.superbowl-ads.com/squarespace-super-bowl-lix-2025-ad-a-tale-as-old-as-websites/,Squarespace,2025,"A historical dramatization portrays early cave paintings as the internet's predecessor. Cavemen complain about limited media options (""rocks only""). The scene transitions, showcasing how Squarespace's user-friendly platform allows anyone, even cavemen, to easily create their own websites, offering limitless content and possibilities. The ad highlights Squarespace's ease of use and its power to democratize content creation.","Humorous, clever",Squarespace Super Bowl 2025 ad,2109.3,13422.1
https://www.superbowl-ads.com/msc-cruises-super-bowl-lix-2025-ad-lets-holiday/,MSC Cruises,2025,"The commercial encourages viewers to consider a cruise holiday instead of a typical vacation. It showcases the luxurious amenities and diverse experiences offered on an MSC cruise ship, including dining, entertainment, and exotic destinations. The ad emphasizes the idea of an all-in-one, convenient, and unforgettable holiday experience.","Luxurious, Enticing",MSC Cruises Super Bowl 2025 ad,951.22,12506.9
https://www.superbowl-ads.com/msc-cruises-super-bowl-lix-2025-ad-lets-holiday/,MSC Cruises,2025,"This Super Bowl commercial urges viewers to ""Let's Holiday"" with MSC Cruises, showcasing the luxury and diverse experiences available on board their ships. It highlights global destinations, onboard entertainment, and culinary delights, all set to a vibrant soundtrack. The ad aims to inspire viewers to choose a cruise for their next vacation.","Luxurious, Inviting",MSC Cruises Super Bowl 2025 ad,951.22,12506.9
https://www.superbowl-ads.com/homes-com-super-bowl-lix-2025-ad-not-saying-were-the-best/,Homes.com,2025,"The Homes.com Super Bowl commercial humorously acknowledges that while they may not be the *best*, they offer a lot. It features various scenarios highlighting relatable home-buying and selling frustrations, while subtly showcasing Homes.com as a comprehensive resource to address these issues.","Humorous, relatable",Homes.com Super Bowl 2025 ad,689.695,2273.85
https://www.superbowl-ads.com/homes-com-super-bowl-lix-2025-ad-not-saying-were-the-best/,Homes.com,2025,"The Homes.com Super Bowl ad humorously acknowledges they won't claim to be the ""best"" real estate platform. Instead, it uses self-deprecating humor and implied competition with unnamed rivals, suggesting viewers should visit their website to decide for themselves. It focuses on honesty and a lack of boastfulness, positioning Homes.com as a down-to-earth option.","Humorous, Clever",Homes.com Super Bowl 2025 ad,689.695,2273.85
https://www.superbowl-ads.com/disney-lilo-stitch-super-bowl-lix-2025-ad-stitch-runs-loose/,Disney,2025,"Stitch wreaks playful havoc during a live Super Bowl broadcast. He messes with the announcers' desk, steals a football, and generally causes chaos on the field, all while being chased by security. The commercial ends with a title card promoting Disney's Lilo & Stitch.","Humorous, chaotic",Disney Super Bowl 2025 ad,69.11458333333333,219.75
https://www.superbowl-ads.com/disney-lilo-stitch-super-bowl-lix-2025-ad-stitch-runs-loose/,Disney,2025,"Stitch wreaks havoc in a house, painting walls blue, messing with appliances, and generally causing chaos. A child chases after him, attempting to contain the playful alien's destructive energy, presumably leading to a heartwarming resolution involving the characters Lilo & Stitch.","Humorous, chaotic, heartwarming",Disney Super Bowl 2025 ad,69.11458333333333,219.75
https://www.superbowl-ads.com/budweiser-super-bowl-lix-ad-first-delivery/,Budweiser,2016,"The commercial depicts Adolphus Busch's journey from Germany to America in 1857. He dreams of brewing beer and meets Eberhard Anheuser in St. Louis. The narrative focuses on their partnership and the start of Budweiser, emphasizing Busch's ambition and the challenges he overcame to achieve the ""American Dream."" It celebrates Budweiser's heritage and its connection to the immigrant experience.","Inspiring, nostalgic, patriotic",Budweiser Super Bowl 2016 ad,685.4574468085107,11224.77659574468
https://www.superbowl-ads.com/budweiser-super-bowl-lix-ad-first-delivery/,Budweiser,2016,"The ad celebrates Budweiser's commitment, during weather events, to providing clean drinking water to those in need. It showcases their brewery halting beer production to can and deliver water to affected areas, emphasizing their dedication to disaster relief efforts. Scenes of floods and communities receiving aid are interspersed with the brewing process.","Heartwarming, altruistic",Budweiser Super Bowl 2016 ad,685.4574468085107,11224.77659574468
